NAME ,HOURS OF OPERATION,CYBERNAVIGATOR,TEACHER IN THE LIBRARY,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,LOCATION
Harold Washington-HWLC,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",Yes,No,400 S. State Street,CHICAGO,IL,60605,(312) 747-4300,http://www.chipublib.org/branch/details/library/harold-washington/,"400 State Street
CHICAGO, IL 60605
(41.87629985357702, -87.62819280116949)"
Hegewisch,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,3048 E. 130th Street,CHICAGO,IL,60633,(312) 747-0046,http://www.chipublib.org/branch/details/library/hegewisch/,"3048 130th Street
CHICAGO, IL 60633
(41.65917887033542, -87.54824132727411)"
Humboldt Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,1605 N. Troy Street,CHICAGO,IL,60647,(312) 744-2244,http://www.chipublib.org/branch/details/library/humboldt/,"1605 Troy
StreetCHICAGO, IL 60647
(41.910328, -87.705427)"
Independence,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,3548 W. Irving Park Road,CHICAGO,IL,60618,(312) 744-0900,http://www.chipublib.org/branch/details/library/independence/,"3548 Irving Park Road
CHICAGO, IL 60618
(41.953903720729926, -87.71694255042644)"
Jefferson Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,5363 W. Lawrence Avenue,CHICAGO,IL,60630,(312) 744-1998,http://www.chipublib.org/branch/details/library/jefferson-park/,"5363 Lawrence Avenue
CHICAGO, IL 60630
(41.96759739182978, -87.76155426232721)"
Jeffery Manor,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,2401 E. 100th Street,CHICAGO,IL,60617,(312) 747-6479,http://www.chipublib.org/branch/details/library/jeffery-manor/,"2401 100th Street
CHICAGO, IL 60617
(41.71326176288522, -87.56549206928669)"
Kelly,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,6151 S. Normal Boulevard,CHICAGO,IL,60621,(312) 747-8418,http://www.chipublib.org/branch/details/library/kelly/,"6151 Normal Boulevard
CHICAGO, IL 60621
(41.78217163315653, -87.63740786532117)"
King,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,3436 S. King Drive,CHICAGO,IL,60616,(312) 747-7543,http://www.chipublib.org/branch/details/library/king/,"3436 King Drive
CHICAGO, IL 60616
(41.83180139956726, -87.6177606656296)"
Legler,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,115 S. Pulaski Road,CHICAGO,IL,60624,(312) 746-7730,http://www.chipublib.org/branch/details/library/legler/,"115 Pulaski Road
CHICAGO, IL 60624
(41.87933865849079, -87.72556034620074)"
Lincoln Belmont,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,1659 W. Melrose Street,CHICAGO,IL,60657,(312) 744-0166,http://www.chipublib.org/branch/details/library/lincoln-belmont/,"1659 Melrose Street
CHICAGO, IL 60657
(41.94031359562259, -87.67075771281625)"
Lincoln Park,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,1150 W. Fullerton Avenue,CHICAGO,IL,60614,(312) 744-1926,http://www.chipublib.org/branch/details/library/lincoln-park/,"1150 Fullerton Avenue
CHICAGO, IL 60614
(41.925591694002954, -87.6581132450843)"
Little Village,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,2311 S. Kedzie Avenue,CHICAGO,IL,60623,(312) 745-1862,http://www.chipublib.org/branch/details/library/little-village/,"2311 Kedzie Avenue
CHICAGO, IL 60623
(41.8495331, -87.7051215)"
Logan Square,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,3030 W. Fullerton Avenue,CHICAGO,IL,60647,(312) 744-5295,http://www.chipublib.org/branch/details/library/logan-square/,"3030 Fullerton Avenue
CHICAGO, IL 60647
(41.92505210078537, -87.70339410925955)"
Lozano,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,1805 S. Loomis Street,CHICAGO,IL,60608,(312) 746-4329,http://www.chipublib.org/branch/details/library/lozano/,"1805 Loomis Street
CHICAGO, IL 60608
(41.85752200960524, -87.6609371162563)"
Manning,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,6 S. Hoyne Avenue,CHICAGO,IL,60612,(312) 746-6800,http://www.chipublib.org/branch/details/library/mabel-manning/,"6 Hoyne Avenue
CHICAGO, IL 60612
(41.88118570415187, -87.67914211111776)"
Mayfair,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,4400 W. Lawrence Avenue,CHICAGO,IL,60630,(312) 744-1254,http://www.chipublib.org/branch/details/library/mayfair/,"4400 Lawrence Avenue
CHICAGO, IL 60630
(41.968354456496165, -87.7381618989123)"
McKinley Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,1915 W. 35th Street,CHICAGO,IL,60609,(312) 747-6082,http://www.chipublib.org/branch/details/library/mckinley-park/,"1915 35th Street
CHICAGO, IL 60609
(41.830447500170855, -87.67339165430255)"
Merlo,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,No,644 W. Belmont Avenue,CHICAGO,IL,60657,(312) 744-1139,http://www.chipublib.org/branch/details/library/j-merlo-branch/,"644 Belmont Avenue
CHICAGO, IL 60657
(41.940084208613214, -87.64614322696454)"
Mount Greenwood,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,11010 S. Kedzie Avenue,CHICAGO,IL,60655,(312) 747-2805,http://www.chipublib.org/branch/details/library/mt-greenwood/,"11010 Kedzie Avenue
CHICAGO, IL 60655
(41.69291909858246, -87.70103788554279)"
Near North,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,310 W. Division Street,CHICAGO,IL,60610,(312) 744-0991,http://www.chipublib.org/branch/details/library/near-north/,"310 Division Street
CHICAGO, IL 60610
(41.90386938756309, -87.63648979790898)"
North Austin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,5724 W. North Avenue,CHICAGO,IL,60639,(312) 746-4233,http://www.chipublib.org/branch/details/library/north-austin/,"5724 North Avenue
CHICAGO, IL 60639
(41.90942919798428, -87.76879898888265)"
North Pulaski,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,4300 W. North Avenue,CHICAGO,IL,60639,(312) 744-9573,http://www.chipublib.org/branch/details/library/north-pulaski/,"4300 North Avenue
CHICAGO, IL 60639
(41.91004241611636, -87.73392609215429)"
Northtown,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,6435 N. California Avenue,CHICAGO,IL,60645,(312) 744-2292,http://www.chipublib.org/branch/details/library/northtown/,"6435 California Avenue
CHICAGO, IL 60645
(41.99833902904292, -87.6996500514452)"
Oriole Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,7454 W. Balmoral Avenue,CHICAGO,IL,60656,(312) 744-1965,http://www.chipublib.org/branch/details/library/oriole-park/,"7454 Balmoral Avenue
CHICAGO, IL 60656
(41.977961140156296, -87.8132091093451)"
Portage-Cragin,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,5108 W. Belmont Avenue,CHICAGO,IL,60641,(312) 744-0152,http://www.chipublib.org/branch/details/library/portage-cragin/,"5108 Belmont Avenue
CHICAGO, IL 60641
(41.93877675039972, -87.75449293765163)"
Pullman,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,No,11001 S. Indiana Avenue,CHICAGO,IL,60628,(312) 747-2033,http://www.chipublib.org/branch/details/library/pullman/,"11001 Indiana Avenue
CHICAGO, IL 60628
(41.69440640901795, -87.61826066226358)"
Roden,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,6083 N. Northwest Highway,CHICAGO,IL,60631,(312) 744-1478,http://www.chipublib.org/branch/details/library/roden/,"6083 Northwest Highway
CHICAGO, IL 60631
(41.99191752494232, -87.79830189864583)"
Rogers Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,6907 N. Clark Street,CHICAGO,IL,60626,(312) 744-0156,http://www.chipublib.org/branch/details/library/rogers-park/,"6907 Clark Street
CHICAGO, IL 60626
(42.00670763656976, -87.67340767268539)"
Roosevelt,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,1101 W. Taylor Street,CHICAGO,IL,60607,(312) 746-5656,http://www.chipublib.org/branch/details/library/roosevelt/,"1101 Taylor Street
CHICAGO, IL 60607
(41.86927614852819, -87.65447998408592)"
Scottsdale,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,No,4101 W. 79th Street,CHICAGO,IL,60652,(312) 747-0193,http://www.chipublib.org/branch/details/library/scottsdale/,"4101 79th Street
CHICAGO, IL 60652
(41.749361683410754, -87.72439557570442)"
Sherman Park,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,5440 S. Racine Avenue,CHICAGO,IL,60609,(312) 747-0477,http://www.chipublib.org/branch/details/library/sherman-park/,"5440 Racine Avenue
CHICAGO, IL 60609
(41.795279421214886, -87.65492071930115)"
South Chicago,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,9055 S. Houston Avenue,CHICAGO,IL,60617,(312) 747-8065,http://www.chipublib.org/branch/details/library/south-chicago/,"9055 Houston Avenue
CHICAGO, IL 60617
(41.73057483460938, -87.54980694003919)"
South Shore,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,2505 E. 73rd Street,CHICAGO,IL,60649,(312) 747-5281,http://www.chipublib.org/branch/details/library/south-shore/,"2505 73rd Street
CHICAGO, IL 60649
(41.76155535585864, -87.56208363879564)"
Sulzer Regional,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",Yes,Yes,4455 N. Lincoln Avenue,CHICAGO,IL,60625,(312) 744-7616,http://www.chipublib.org/branch/details/library/sulzer-regional/,"4455 Lincoln Avenue
CHICAGO, IL 60625
(41.96240358108169, -87.68441684946531)"
Thurgood Marshall,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,7506 S. Racine Avenue,CHICAGO,IL,60620,(312) 747-5927,http://www.chipublib.org/branch/details/library/thurgood-marshall/,"7506 Racine Avenue
CHICAGO, IL 60620
(41.757801751628755, -87.65398155309862)"
Toman,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,2708 S. Pulaski Road,CHICAGO,IL,60623,(312) 745-1660,http://www.chipublib.org/branch/details/library/toman/,"2708 Pulaski Road
CHICAGO, IL 60623
(41.84205367070128, -87.72496884474246)"
Uptown,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,929 W. Buena Avenue,CHICAGO,IL,60613,(312) 744-8400,http://www.chipublib.org/branch/details/library/uptown/,"929 Buena Avenue
CHICAGO, IL 60613
(41.958445207514295, -87.65351012268938)"
Vodak-East Side,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,3710 E. 106th Street,CHICAGO,IL,60617,(312) 747-5500,http://www.chipublib.org/branch/details/library/vodak-east-side/,"3710 106th Street
CHICAGO, IL 60617
(41.70302747819179, -87.53350318470449)"
Walker,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,11071 S. Hoyne Avenue,CHICAGO,IL,60643,(312) 747-1920,http://www.chipublib.org/branch/details/library/walker/,"11071 Hoyne Avenue
CHICAGO, IL 60643
(41.69244169242589, -87.67413286555718)"
Water Works,"M-TH: 9AM-7PM; F, SA: 9AM-5PM; SU: 1PM-5PM",No,No,163 E. Pearson Street,CHICAGO,IL,60611,(312) 742-8811,http://www.chipublib.org/branch/details/library/water-works/,"163 Pearson Street
CHICAGO, IL 60611
(41.89758435399726, -87.62314877110073)"
West Belmont,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,3104 N. Narragansett Avenue,CHICAGO,IL,60634,(312) 746-5142,http://www.chipublib.org/branch/details/library/west-belmont/,"3104 Narragansett Avenue
CHICAGO, IL 60634
(41.93666211869315, -87.78589145006396)"
West Chicago Avenue,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,4856 W. Chicago Avenue,CHICAGO,IL,60651,(312) 743-0260,http://www.chipublib.org/branch/details/library/west-chicago-avenue/,"4856 Chicago Avenue
CHICAGO, IL 60651
(41.895046508790834, -87.74732954000841)"
West Englewood,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",Yes,Yes,1745 W. 63rd Street,CHICAGO,IL,60636,(312) 747-3481,http://www.chipublib.org/branch/details/library/west-englewood/,"1745 63rd Street
CHICAGO, IL 60636
(41.779334358813195, -87.66812159090755)"
West Lawn,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,4020 W. 63rd Street,CHICAGO,IL,60629,(312) 747-7381,http://www.chipublib.org/branch/details/library/west-lawn/,"4020 63rd Street
CHICAGO, IL 60629
(41.778662219559784, -87.7235385705056)"
West Pullman,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,830 W. 119th Street,CHICAGO,IL,60643,(312) 747-1425,http://www.chipublib.org/branch/details/library/west-pullman/,"830 119th Street
CHICAGO, IL 60643
(41.67785087178982, -87.64299968326193)"
West Town,"M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,1625 W. Chicago Avenue,CHICAGO,IL,60622,(312) 743-0450,http://www.chipublib.org/branch/details/library/west-town/,"1625 Chicago Avenue
CHICAGO, IL 60622
(41.895752189070784, -87.6682665907951)"
"Whitney M. Young, Jr.","M, W: 10AM-6PM;  TU, TH: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,7901 S. King Drive,CHICAGO,IL,60619,(312) 747-0039,http://www.chipublib.org/branch/details/library/whitney-young/,"7901 King Drive
CHICAGO, IL 60619
(41.75106360973631, -87.61495065361933)"
Woodson Regional,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",Yes,Yes,9525 S. Halsted Street,CHICAGO,IL,60628,(312) 747-6900,http://www.chipublib.org/branch/details/library/woodson-regional/,"9525 Halsted Street
CHICAGO, IL 60628
(41.72093481286736, -87.64309395216542)"
Wrightwood-Ashburn,"M, W: 12PM-8PM; TU, TH: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",No,Yes,8530 S. Kedzie Avenue,CHICAGO,IL,60652,(312) 747-2696,http://www.chipublib.org/branch/details/library/wrightwood/,"8530 Kedzie Avenue
CHICAGO, IL 60652
(41.73832399791064, -87.70213010561923)"
